Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Lifecycle Status,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 1) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,,,,Digi-Key,Future Electronics,Mouser,Newark,Digi-Key,Future Electronics,Mouser,Newark,Digi-Key,Future Electronics,Mouser,Newark,Digi-Key,Future Electronics,Mouser,Newark,Digi-Key,Future Electronics,Mouser,Newark,Digi-Key,Future Electronics,Mouser,Newark,,,,,,,,,,
2,06035C223KAT2A,AVX,06035C223KAT2A,https://octopart.com/06035c223kat2a-avx-39513097,,,,Production (Last Updated: 2 years ago),18w,Compliant,2,478-1231-1-ND,7393572,581-06035C223K,96K4764,Cut Tape,Cut Tape,Tape & Reel,Cut Tape,0.11,0.0139,0.1,0.009,40172,570335,158980,34103,1,1,1,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=39513097&sid=459&sig=09ffeb2&vpid=114944943&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=39513097&sid=2454&sig=022fc32&vpid=495868746&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=39513097&sid=2401&sig=0f8e7ca&vpid=114997672&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=39513097&sid=2402&sig=031282b&vpid=119872884&ai4=706,Digi-Key,478-1231-1-ND,Cut Tape,0.11,0.22,0.22,40172,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=39513097&sid=459&sig=09ffeb2&vpid=114944943&ai4=706,
1,06035C471KAT2A,AVX,06035C471KAT2A,https://octopart.com/06035c471kat2a-avx-55387843,,,,Production (Last Updated: 2 years ago),18w,Compliant,1,478-1211-1-ND,7406838,581-06035C471K,34K0289,Cut Tape,Cut Tape,Tape & Reel,Cut Tape,0.1,0.0096,0.1,0.006,34923,973750,13676,0,1,1,1,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=55387843&sid=459&sig=067355c&vpid=187968664&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=55387843&sid=2454&sig=0d27d2c&vpid=416803071&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=55387843&sid=2401&sig=0a5c0f9&vpid=187733755&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=55387843&sid=2402&sig=065a11d&vpid=187883695&ai4=706,Digi-Key,478-1211-1-ND,Cut Tape,0.1,0.1,0.1,34923,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=55387843&sid=459&sig=067355c&vpid=187968664&ai4=706,
4,0603ZD106KAT2A,AVX,0603ZD106KAT2A,https://octopart.com/0603zd106kat2a-avx-71360729,,,,Production (Last Updated: 2 years ago),26w,Non-Compliant,4,478-10766-1-ND,2127257,581-0603ZD106KAT2A,50AH3279,Cut Tape,Tape & Reel,Tape & Reel,Cut Tape,0.1,,0.12,0.107,28635,0,10165,11700,1,4000,1,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=71360729&sid=459&sig=08deb4e&vpid=440762113&ai4=706,https://octopart.com/click/track?c=1&country=AR&ct=offers&ppid=71360729&sid=2454&sig=071e332&vpid=678137433&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=71360729&sid=2401&sig=06c8fa3&vpid=423377967&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=71360729&sid=2402&sig=0ff2d6d&vpid=598283113&ai4=706,Digi-Key,478-10766-1-ND,Cut Tape,0.1,0.4,0.4,28635,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=71360729&sid=459&sig=08deb4e&vpid=440762113&ai4=706,
1,105162-0001,Molex,105162-0001,https://octopart.com/105162-0001-molex-33126378,,,,Production (Last Updated: 7 months ago),13w,Compliant,1,WM14405CT-ND,,538-105162-0001,41AH6300,Cut Tape,,Tape & Reel,Cut Tape,0.84,,0.84,0.914,7424,,0,1910,1,,1,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=33126378&sid=459&sig=0f318ab&vpid=265631505&ai4=706,,https://octopart.com/click/track?c=1&country=AR&ct=offers&ppid=33126378&sid=2401&sig=0b144e5&vpid=198948016&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=33126378&sid=2402&sig=04446a7&vpid=596289143&ai4=706,Digi-Key,WM14405CT-ND,Cut Tape,0.84,0.84,0.84,7424,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=33126378&sid=459&sig=0f318ab&vpid=265631505&ai4=706,
1,12401610E4-2A,Amphenol,12401610E4#2A,https://octopart.com/12401610e4%232a-amphenol-67281401,,,,,16w,Compliant,1,12401610E4#2ACT-ND,4111122,523-12401610E4#2A,59AC8815,Cut Tape,Tape & Reel,Tape & Reel,Cut Tape,1.59,,1.54,1.57,22,24000,32095,4038,1,1000,1,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=67281401&sid=459&sig=0c50e55&vpid=531263748&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=67281401&sid=2454&sig=024962f&vpid=697073410&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=67281401&sid=2401&sig=07b832f&vpid=252028416&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=67281401&sid=2402&sig=019e777&vpid=489934139&ai4=706,Digi-Key,12401610E4#2ACT-ND,Cut Tape,1.59,1.59,1.59,22,1,https://octopart.com/click/track?country=AR&ct=offers&ppid=67281401&sid=459&sig=0c50e55&vpid=531263748&ai4=706,
5,2044-1X08G00SA,Oupiin,2044-1X08G00SA,https://octopart.com/2044-1x08g00sa-oupiin-93554056,,,,,1w,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2044-1X10G00SA,Oupiin,2044-1X10G00SA,https://octopart.com/2044-1x10g00sa-oupiin-18674046,,,,,1w,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2044-2X18G00SA,Oupiin,2044-2X18G00SA,https://octopart.com/2044-2x18g00sa-oupiin-112812350,,,,,1w,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47346-0001,Molex,47346-0001,https://octopart.com/47346-0001-molex-7164928,,,,Production (Last Updated: 7 months ago),15w,Compliant,1,WM17141CT-ND,,538-47346-0001,47M0505,Cut Tape,,Tape & Reel,Cut Tape,0.95,,0.95,0.597,0,,9159,14573,1,,1,1,https://octopart.com/click/track?c=1&country=AR&ct=offers&ppid=7164928&sid=459&sig=04fb055&vpid=50127118&ai4=706,,https://octopart.com/click/track?country=AR&ct=offers&ppid=7164928&sid=2401&sig=02695e0&vpid=37677377&ai4=706,https://octopart.com/click/track?country=AR&ct=offers&ppid=7164928&sid=2402&sig=0957815&vpid=14934121&ai4=706,Digi-Key,WM17141CT-ND,Cut Tape,0.95,0.95,0.95,0,1,https://octopart.com/click/track?c=1&country=AR&ct=offers&ppid=7164928&sid=459&sig=04fb055&vpid=50127118&ai4=706,
